time,timestamp,voltage,current,remaining,remaining_c,remaining_v,SOH,initial,connected,reserved1,reserved2,uctimestamp,init_SOC,resistance,cvoltage,cvoltage_orin
7.009취,9813,1336,0,-1,0,-1,100,0,0,0,0,9813,0,0.02,0,0
7.109취,9913,1343,0,-1,0,-1,100,0,0,0,0,9913,0,0.02,0,0
7.209취,10013,1341,0,-1,0,-1,100,0,0,0,0,10013,0,0.02,0,0
7.309취,10113,1338,0,-1,0,-1,100,0,0,0,0,10113,0,0.02,0,0
7.409취,10213,1343,0,-1,0,-1,100,0,0,0,0,10213,0,0.02,0,0
7.509취,10313,1339,0,-1,0,-1,100,0,0,0,0,10313,0,0.02,0,0
7.609취,10413,1336,0,-1,0,-1,100,0,0,0,0,10413,0,0.02,0,0
7.709취,10513,1338,0,-1,0,-1,100,0,0,0,0,10513,0,0.02,0,0
7.809취,10613,1341,0,-1,0,-1,100,0,0,0,0,10613,0,0.02,0,0
7.909취,10713,1344,0,-1,0,-1,100,0,0,0,0,10713,0,0.02,0,0
8.009취,10813,1344,0,-1,0,-1,100,0,0,0,0,10813,0,0.02,0,0
8.109취,10913,1339,0,-1,0,-1,100,0,0,0,0,10913,0,0.02,0,0
8.209취,11013,1343,0,-1,0,-1,100,0,0,0,0,11013,0,0.02,0,0
8.309취,11113,1341,0,-1,0,-1,100,0,0,0,0,11113,0,0.02,0,0
8.409취,11213,1341,0,-1,0,-1,100,0,0,0,0,11213,0,0.02,0,0
8.509취,11313,1339,0,-1,0,-1,100,0,0,0,0,11313,0,0.02,0,0
8.609취,11413,1338,0,-1,0,-1,100,0,0,0,0,11413,0,0.02,0,0
8.709취,11513,1339,0,-1,0,-1,100,0,0,0,0,11513,0,0.02,0,0
8.809취,11613,1339,0,-1,0,-1,100,0,0,0,0,11613,0,0.02,0,0
8.909취,11713,1340,0,-1,0,-1,100,0,0,0,0,11713,0,0.02,0,0
9.009취,11813,1340,0,-1,0,-1,100,0,0,0,0,11813,0,0.02,0,0
9.109취,11913,1337,0,-1,0,-1,100,0,0,0,0,11913,0,0.02,0,0
9.209취,12013,1341,0,-1,0,-1,100,0,0,0,0,12013,0,0.02,0,0
9.309취,12113,1339,0,-1,0,-1,100,0,0,0,0,12113,0,0.02,0,0
9.409취,12213,1342,0,-1,0,-1,100,0,0,0,0,12213,0,0.02,0,0
9.509취,12313,1342,0,-1,0,-1,100,0,0,0,0,12313,0,0.02,0,0
9.609취,12413,1328,0,-1,0,-1,100,0,0,0,0,12413,0,0.02,0,0
9.709취,12513,1339,0,-1,0,-1,100,0,0,0,0,12513,0,0.02,0,0
9.809취,12613,1337,0,-1,0,-1,100,0,0,0,0,12613,0,0.02,0,0
9.909취,12713,1329,0,-1,0,-1,100,0,0,0,0,12713,0,0.02,0,0
10.009취,12813,1329,0,-1,0,-1,100,0,0,0,0,12813,0,0.02,0,0
10.109취,12913,1340,0,-1,0,-1,100,0,0,0,0,12913,0,0.02,0,0
10.209취,13013,1339,0,-1,0,-1,100,0,0,0,0,13013,0,0.02,0,0
10.309취,13113,1338,0,-1,0,-1,100,0,0,0,0,13113,0,0.02,0,0
10.409취,13213,1335,0,-1,0,-1,100,0,0,0,0,13213,0,0.02,0,0
10.509취,13313,1336,0,-1,0,-1,100,0,0,0,0,13313,0,0.02,0,0
10.609취,13413,1337,0,-1,0,-1,100,0,0,0,0,13413,0,0.02,0,0
10.709취,13513,1342,0,-1,0,-1,100,0,0,0,0,13513,0,0.02,0,0
10.809취,13613,1337,0,-1,0,-1,100,0,0,0,0,13613,0,0.02,0,0
10.909취,13713,1340,0,-1,0,-1,100,0,0,0,0,13713,0,0.02,0,0
11.009취,13813,1288,0,-1,0,-1,100,0,0,0,0,13813,0,0.02,0,0
11.109취,13913,1340,0,-1,0,-1,100,0,0,0,0,13913,0,0.02,0,0
11.209취,14013,1338,0,-1,0,-1,100,0,0,0,0,14013,0,0.02,0,0
11.309취,14113,1335,0,-1,0,-1,100,0,0,0,0,14113,0,0.02,0,0
11.409취,14213,1341,0,-1,0,-1,100,0,0,0,0,14213,0,0.02,0,0
11.509취,14313,1342,0,-1,0,-1,100,0,0,0,0,14313,0,0.02,0,0
11.609취,14413,1343,0,-1,0,-1,100,0,0,0,0,14413,0,0.02,0,0
11.709취,14513,1334,0,-1,0,-1,100,0,0,0,0,14513,0,0.02,0,0
11.809취,14613,1338,0,-1,0,-1,100,0,0,0,0,14613,0,0.02,0,0
11.909취,14713,1339,0,-1,0,-1,100,0,0,0,0,14713,0,0.02,0,0
12.009취,14813,1341,0,-1,0,-1,100,0,0,0,0,14813,0,0.02,0,0
12.109취,14913,1338,0,-1,0,-1,100,0,0,0,0,14913,0,0.02,0,0
12.209취,15013,1339,0,-1,0,-1,100,0,0,0,0,15013,0,0.02,0,0
12.309취,15113,1340,0,-1,0,-1,100,0,0,0,0,15113,0,0.02,0,0
12.409취,15213,1339,0,-1,0,-1,100,0,0,0,0,15213,0,0.02,0,0
12.509취,15313,1339,0,-1,0,-1,100,0,0,0,0,15313,0,0.02,0,0
12.609취,15413,1342,0,-1,0,-1,100,0,0,0,0,15413,0,0.02,0,0
12.709취,15513,1342,0,-1,0,-1,100,0,0,0,0,15513,0,0.02,0,0
12.809취,15613,1339,0,-1,0,-1,100,0,0,0,0,15613,0,0.02,0,0
12.909취,15713,1338,0,-1,0,-1,100,0,0,0,0,15713,0,0.02,0,0
13.009취,15813,1337,0,-1,0,-1,100,0,0,0,0,15813,0,0.02,0,0
