time,timestamp,phi,theta,psi,p,q,r,ax,ay,az,vn,ve,vd,airspeed,lat,lon,alt,lat_0,lon_0,alt_0,dx_dlat,dy_dlon,x_R,y_R,h_R,h_AGL,flag,status
1.902취,1902,0.02563075,-0.03847802,1.321163,0.000499878,0.001973851,0.0007565626,-0.3762202,-0.2510806,-9.772563,-0.04342096,-0.01356816,0.1783855,0.1,-0,-0,-0,0,0,0,0,0,-0.07257131,-0.03200492,-0.2726989,-0.2726989,15,5
2.002취,2002,0.02557982,-0.03842966,1.321593,-0.0002313164,-0.002717278,0.000381169,-0.3836954,-0.2346615,-9.778143,-0.04432797,-0.01429716,0.1818995,0.1,-0,-0,-0,0,0,0,0,0,-0.07695895,-0.03339534,-0.2907141,-0.2907141,15,5
2.102취,2102,0.02554265,-0.03850044,1.321815,-0.0003004376,0.001874967,0.0008242943,-0.3772918,-0.2413702,-9.767473,-0.0450189,-0.01518926,0.004282384,0.1,-0,-0,-0,0,0,0,0,0,-0.08141393,-0.03487371,-0.01496155,-0.01496155,143,13
2.202취,2202,0.0255282,-0.0384629,1.321694,-0.0008409903,0.002156652,0.0002765778,-0.3700439,-0.2423472,-9.762834,-0.04570559,-0.01624171,0.008060317,0.1,-0,-0,-0,0,0,0,0,0,-0.08594177,-0.03645371,-0.01494882,-0.01494882,143,13
2.302취,2302,0.02549918,-0.03840056,1.321613,-0.0008925778,-0.001906858,0.001861345,-0.3817784,-0.2533064,-9.766477,-0.04626811,-0.01671351,0.01198799,0.1,-0,-0,-0,0,0,0,0,0,-0.09054844,-0.03807921,-0.01713283,-0.01713283,143,13
2.402취,2402,0.02550885,-0.0384074,1.321677,-4.083557e-05,-0.0004105562,-0.0006901741,-0.3968697,-0.2572883,-9.757965,-0.04636077,-0.01837885,0.01558634,0.1,-0,-0,-0,0,0,0,0,0,-0.0952006,-0.03982437,-0.02054195,-0.02054195,143,13
2.502취,2502,0.02554605,-0.03821078,1.321758,0.0002233199,0.003990692,0.001227301,-0.3694255,-0.2278592,-9.745208,-0.04704061,-0.01853407,0.02045598,0.1,-0,-0,-0,0,0,0,0,0,-0.0998694,-0.04167686,-0.02602093,-0.02602093,143,13
2.602취,2602,0.02551949,-0.03796702,1.321518,0.001508433,0.004656001,-0.00176153,-0.3774468,-0.2500781,-9.767147,-0.04740078,-0.01915125,0.02273896,0.1,0,0,0,0,0,0,0,0,-0.1045914,-0.04355133,-0.02508662,-0.02508662,143,13
2.702취,2702,0.02522927,-0.03953129,1.275776,-0.0008699243,0.001216416,0.001584744,-0.3788525,-0.2315443,-9.759189,0.01002817,-0.007750633,0.0237801,0.1,0.394492805449346,1.98952330960759,50.8541289499444,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1072692,-0.0450871,-0.026992,-0.026992,255,29
2.802취,2802,0.02528472,-0.03962406,1.276181,-0.00087569,-0.004373786,-0.0005062784,-0.3673484,-0.2246845,-9.763567,0.008676225,-0.004643974,0.02035854,0.1,0.394492805600555,1.98952330948853,50.8518299578172,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1063098,-0.04578852,-0.02929099,-0.02929099,255,29
2.902취,2902,0.0254157,-0.03980421,1.277118,-0.0005329969,-0.0002674859,0.001536377,-0.3786512,-0.2452769,-9.787466,0.006156637,0.004148422,0.01666301,0.1,0.394492805713619,1.98952330948046,50.8500827165735,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1055924,-0.04583609,-0.03103823,-0.03103823,255,29
3.002취,3002,0.02542055,-0.04017207,1.277632,0.001912768,8.874392e-05,0.0009878608,-0.3780061,-0.2435388,-9.750243,0.009452929,0.01413384,0.01798451,0.1,0.394492805823251,1.98952330963253,50.8483049726528,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1048968,-0.0449402,-0.03281597,-0.03281597,255,29
3.102취,3102,0.02515304,-0.04037702,1.278064,0.001984437,0.001164083,0.0005016263,-0.3679548,-0.2317683,-9.746492,0.01417925,0.01937591,0.02355873,0.1,0.394492806029123,1.98952330994776,50.8464288717551,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1035906,-0.04308312,-0.03469208,-0.03469208,255,29
